県,けん
区,く
攻め勝t,せめか
擦り減r,すりへ
進m,すす
損,そん
損h,そん
割喰う,わりくう
割喰っ,わりくっ
割喰w,わりく
美味しい,おいしい
美味しk,おいしk
著さ,あらわさ
著し,いちじるし/しるし/あらわし
著しい,いちじるしい
著しk,いちじるし
著す,あらわす
著せ,あらわせ
著そ,あらわそ
滑べ,すべ
滑べr,すべ
滑らか,なめらか
滑らs,すべら
滑り,ぬめり/すべり
滑る,すべる
滑れr,すべれ
動い,うごい
動か,うごか
動き,うごき
動く,うごく
動け,うごけ
動こ,うごこ
苦しい,くるしい
苦しk,くるし
苦しm,くるし
明る,あかる
隠ら,こもら
隠り,こもり
隠る,こもる
隠れ,こもれ/かくれ
隠れみの,かくれみの
隠れよ,かくれよ
隠れr,かくれ
隠ろ,こもろ
生ながらえ,いきながらえ
生なまし,なまなまし
生ぬる,なまぬる
生ら,なら
生り,なり
生る,なる
生れ,うまれ/なれ
生れおち,うまれおち
生れかわr,うまれかわ
生れよ,うまれよ
生れr,うまれ
生れ変,うまれかわ
生れ落ち,うまれおち
生ろ,なろ
生ん,うん/なん
止ま,とま/やま
止まっ,とまっ
止まら,とまら
止まり,とまり/どまり
止まる,とまる
止まれ,とまれ
止まろ,とまろ
止まん,とまん
止み,やみ
止む,やむ
止め,とめ/やめ/とどめ
止めど,とめど
止めよ,とめよ/やめよ/とどめよ
止も,やも
明らか,あきらか
明らま,あからま
明らみ,あからみ
明らむ,あからむ
明らめ,あきらめ
明らも,あからも
明り,あかり
明る,あかる
申さ,もうさ
申し,もうし
申す,もうす
申せ,もうせ
申そ,もうそ
苦し,くるし/にがし
苦しい,くるしい
苦しk,くるし
苦しg,くるし
苦しm,くるし
苦し紛れ,くるしまぎれ
憤っ,いきどおっ
憤まん,ふんまん
憤r,いきどお
陥ら,おちいら
陥り,おちいり
陥る,おちいる
陥れ,おとしいれ/おちいれ
陥れr,おとしいれ
陥ろ,おちいろ
和やか,なごやか
下ら,くだら
下り,くだり/おり
下りr,おり
下り立,おりた
下る,くだる
下れ,くだれ
下ろ,くだろ
下ろs,おろ
取っ,とっ
出だ,でだ
出づ,でづ
出で,いで
出ど,でど
似た,にた
似つ,につ
似あわし,にあわし
争い,あらそい
争う,あらそう
争え,あらそえ
争お,あらそお
争っ,あらそっ
争わ,あらそわ
上っ,のぼっ
上っつら,うわっつら
上っぱり,うわっぱり
上っ側,うわっかわ
上っ張り,うわっぱり
上っ皮,うわっかわ
上っ調子,うわっちょうし
上っ面,うわっつら
上つ世,かみつよ
上つ方,うえつがた
上ところ,かみところ
上と下,うえとした
上の,うえの
上の句,かみのく
上の宮,かみのみや
上の山,かみのやま/うえのやま
上の平,うえのたいら
上の浜,かみのはま
上の湯,かみのゆ
上の町,かみのちょう
上の空,うわのそら
上の郷,かみのごう
集っ,たかっ/つどっ
集ら,たから
集り,あつまり/たかり
集る,たかる
集れ,たかれ
集ろ,たかろ
誘いかけ,さそいかけ
誘いまく,さそいまく
誘い出s,さそいだ
誘い合い,さそいあい
誘い合う,さそいあう
誘い合え,さそいあえ
誘い合お,さそいあお
誘い合っ,さそいあっ
誘い合わ,さそいあわ
誘い掛k,さそいか
誘い水,さそいみず
誘い込m,さそいこ
誘い込ん,さそいこん
誘う,さそう/いざなう
誘え,いざなえ/さそえ
誘えよ,さそえよ
誘えr,さそえ
誘お,さそお/いざなお
愛きょう,あいきょう
愛くるし,あいくるし
愛さ,あいさ
愛し,いとし/あいし
愛しい,いとしい
愛しk,いとし
愛しt,あいし
愛し合,あいしあ
愛し子,いとしご
愛す,あいす
愛せ,あいせ
愛そ,あいそ
記さ,しるさ
記し,しるし
記す,きす/しるす
記せ,しるせ
記そ,しるそ
染ま,そま/しま
染まっ,そまっ
染まr,そま
染み,しみ
染む,しむ
染も,しも
答え,こたえ
賜わr,たまわ
交わ,まじわ/かわ
交わs,かわ
交わt,まじわ
交わr,まじわ
併せ,あわせ
有亮,ゆうすけ
康久,やすひさ
拓生,たくお
利真,としまさ
壮吾,そうご
貢久,みつひさ
由佳子,ゆかこ
光隆,みつたか
舩見,ふなみ
高貴生,たかお
大策,だいさく
